k,sse
1,72.17391304347825
2,35.920634920634924
3,25.375
4,18.004761904761907
5,12.700000000000001
6,9.464285714285715
7,7.933333333333334
8,6.866666666666667
9,6.083333333333333
10,4.516666666666667
11,3.8500000000000005
